ÁREA,EQUIPAMENTO,SISTEMA,SEÇÃO,DATA INSPEÇÃO,ESPESSURA MÍNIMA,CRITICIDADE DO DANO,DANO NA CORREIA,OBSERVAÇÕES
EMBARQUE,CN-325K-02,LANÇA,1,2023-08-14 00:00:00,16,---,SEM DANO,CORREIA FOI TROCADA EM 12/08/2023
PÁTIO,RP-313K-04,LANÇA,1,2023-08-14 00:00:00,14,---,SEM DANO,---
EMBARQUE,TR-325K-12,REDLEY,1,2023-08-14 00:00:00,4,---,SEM DANO,REALIZADO A MEDIÇÃO CONFORME O DESCRITO NO PRO
PÁTIO,TR-313K-05,TRANSPORTADOR,2,2023-08-11 00:00:00,9,---,SEM DANO,---
DESCARREGAMENTO,TR-313K-02,TRANSPORTADOR,1,2023-08-10 00:00:00,6,P4 - PREVENTIVA ATÉ 90 DIAS,TRINCA,FLEXOL PELO RETORNO DA EMENDA DEVIDO VULCANIZAÇÃO INEFICIENTE.
PÁTIO,TR-313K-05,TRANSPORTADOR,1,2023-08-10 00:00:00,9,---,SEM DANO,---
DESCARREGAMENTO,TR-311K-03,TRANSPORTADOR,1,2023-08-09 00:00:00,5,P2 - OPORTUNIDADE ATÉ 30 DIAS,EMENDA,EMENDA APRESENTOU DISTENSIONAMENTO DE CABOS.
EMBARQUE,AL-314K-03A,ALIMENTADOR,1,2023-08-07 00:00:00,7,---,SEM DANO,---
EMBARQUE,TR-313K-12,TRANSPORTADOR,1,2023-08-07 00:00:00,8,P5 - PREVENTIVA ATÉ 180 DIAS,EMENDA,"EMENDA 1A, APRESENTA REPARO NO RETORNO, EMENDA 2 APRESENTA REPARO NA CARGA, AS OUTRAS 3 EMENDAS APRESENTAM TRINCA NO RETORNO."
EMBARQUE,TR-313K-12,TRANSPORTADOR,2,2023-08-07 00:00:00,7,P5 - PREVENTIVA ATÉ 180 DIAS,EMENDA,"EMENDA 1A, APRESENTA REPARO NO RETORNO, EMENDA 2 APRESENTA REPARO NA CARGA, AS OUTRAS 3 EMENDAS APRESENTAM TRINCA NO RETORNO."
EMBARQUE,TR-314K-02,TRANSPORTADOR,1,2023-08-07 00:00:00,3,P2 - OPORTUNIDADE ATÉ 30 DIAS,EMENDA,EMENDA APRESENTA REPARO COM FLEXSOL NA CARGA E RETORNO
EMBARQUE,TR-314K-04,TRANSPORTADOR,1,2023-08-07 00:00:00,3,---,SEM DANO,---
EMBARQUE,TR-314K-06,TRANSPORTADOR,1,2023-08-07 00:00:00,2,---,SEM DANO,---
EMBARQUE,TR-314K-08,TRANSPORTADOR,1,2023-08-07 00:00:00,5,---,SEM DANO,---
EMBARQUE,TR-314K-10,TRANSPORTADOR,1,2023-08-07 00:00:00,2,---,SEM DANO,---
EMBARQUE,TR-314K-11,TRANSPORTADOR,1,2023-08-07 00:00:00,4,---,SEM DANO,---
EMBARQUE,TR-314K-12,TRANSPORTADOR,1,2023-08-07 00:00:00,6,---,SEM DANO,---
EMBARQUE,TR-314K-15,TRANSPORTADOR,1,2023-08-07 00:00:00,9,---,SEM DANO,---
EMBARQUE,TR-314K-19,TRANSPORTADOR,1,2023-08-07 00:00:00,4,---,SEM DANO,---
EMBARQUE,TR-315K-04,TRANSPORTADOR,1,2023-08-07 00:00:00,14,---,SEM DANO,---
EMBARQUE,TR-315K-05,TRANSPORTADOR,1,2023-08-07 00:00:00,8,---,SEM DANO,---
EMBARQUE,TR-315K-05,TRANSPORTADOR,2,2023-08-07 00:00:00,14,---,SEM DANO,---
EMBARQUE,TR-315K-07,TRANSPORTADOR,1,2023-08-07 00:00:00,15,---,SEM DANO,---
EMBARQUE,TR-315K-11,TRANSPORTADOR,1,2023-08-07 00:00:00,5,---,SEM DANO,---
EMBARQUE,TR-315K-12,REDLEY,1,2023-08-07 00:00:00,4,---,SEM DANO,---
EMBARQUE,TR-325K-06,TRANSPORTADOR,1,2023-08-07 00:00:00,11,P2 - OPORTUNIDADE ATÉ 30 DIAS,AVARIA,CORREIA APRESENTA AVARIA NA COBERTURA SUPERIOR
EMBARQUE,TR-325K-14,REDLEY,1,2023-08-07 00:00:00,6,---,SEM DANO,---
EMBARQUE,TR-325K-15,REDLEY,1,2023-08-07 00:00:00,3,---,SEM DANO,---
EMBARQUE,TR-325K-16,TRANSPORTADOR,1,2023-08-07 00:00:00,10,---,SEM DANO,---
EMBARQUE,TR-325K-18,REDLEY,1,2023-08-07 00:00:00,0,---,SEM DANO,REALIZADO A MEDIÇÃO CONFORME O DESCRITO NO PRO / CORREIA APRESENTA DESGASTE PELO RETORNO DEVIDO ROLO TRAVADO NO CENTRO
DESCARREGAMENTO,EP-313K-06,LANÇA,1,2023-08-06 00:00:00,15,---,SEM DANO,CORREIA NOVA
DESCARREGAMENTO,TR-311K-11,TRANSPORTADOR,1,2023-08-06 00:00:00,13,---,SEM DANO,CORREIA NOVA
PÁTIO,TR-315K-24,TRANSPORTADOR,1,2023-08-04 00:00:00,15,---,SEM DANO,---
EMBARQUE,TR-313K-21,TRANSPORTADOR,1,2023-08-03 00:00:00,7,P1 - CORRETIVA ATÉ 7 DIAS,TRINCA,CORREIA APRESENTA FISSURA NA COBERTURA SUPERIO E EMENDAS
EMBARQUE,TR-314K-13,TRANSPORTADOR,1,2023-08-03 00:00:00,7,P3 - PREVENTIVA ATÉ 60 DIAS,EMENDA,EMENDA APRESENTA AVARIA PELO RETORNO
EMBARQUE,TR-314K-14,TRANSPORTADOR,1,2023-08-03 00:00:00,10,P2 - OPORTUNIDADE ATÉ 30 DIAS,EMENDA,EMENDA COM REPARO COM GRAMPOS ESTAVEL
EMBARQUE,TR-315K-09,TRANSPORTADOR,1,2023-08-03 00:00:00,9,P3 - PREVENTIVA ATÉ 60 DIAS,BORDA,CORREIA APRESENTA AVARIAS NAS BORDAS DEVIDO DESALINHAMENTO E CONTATO COM ESTRURA DA CUIA DE VEDAÇÃO
EMBARQUE,TR-325K-09,TRANSPORTADOR,1,2023-08-03 00:00:00,11,---,SEM DANO,---
DESCARREGAMENTO,TR-313K-01,TRANSPORTADOR,1,2023-08-02 00:00:00,12,---,SEM DANO,CORREIA NOVA TROCADA DIA 01/08/2023.
DESCARREGAMENTO,TR-313K-10,TRANSPORTADOR,1,2023-08-02 00:00:00,16,---,SEM DANO,"CORREIA NOVA, TROCADA DIA 01/08/2023,"
DESCARREGAMENTO,TR-313K-14,TRANSPORTADOR,1,2023-08-02 00:00:00,8,---,SEM DANO,SEM OBSERVAÇÕES.
PÁTIO,TR-313K-88,TRANSPORTADOR,1,2023-08-02 00:00:00,2,---,SEM DANO,---
PÁTIO,TR-315K-33,TRANSPORTADOR,1,2023-08-02 00:00:00,12,---,SEM DANO,---
PÁTIO,TR-315K-34,TRANSPORTADOR,1,2023-08-02 00:00:00,6,---,SEM DANO,---
PÁTIO,TR-315K-35,TRANSPORTADOR,1,2023-08-02 00:00:00,12,---,SEM DANO,---
PÁTIO,TR-315K-38,TRANSPORTADOR,1,2023-08-02 00:00:00,12,---,SEM DANO,---
EMBARQUE,TR-325K-09,TRANSPORTADOR,2,2023-08-02 00:00:00,10,P2 - OPORTUNIDADE ATÉ 30 DIAS,EMENDA,EMENDAS COM INDICIO DE TRINCAS PELA CARGA SUPERIOR
EMBARQUE,TR-325K-13,REDLEY,1,2023-08-02 00:00:00,4,---,SEM DANO,REALIZADO A MEDIÇÃO CONFORME O DESCRITO NO PRO
EMBARQUE,TR-325K-17,TRANSPORTADOR,1,2023-08-02 00:00:00,11,---,SEM DANO,REALIZADO A MEDIÇÃO CONFORME O DESCRITO NO PRO
EMBARQUE,TR-314K-18,TRANSPORTADOR,1,2023-08-01 00:00:00,10,P3 - PREVENTIVA ATÉ 60 DIAS,EMENDA,CORREIAS APRESENTAS AVARIAS NAS EMENDAS E FISSURAS PROXIMOS AS BORDAS
EMBARQUE,TR-315K-39,TRANSPORTADOR,1,2023-07-31 00:00:00,8,NORMAL,AVARIA,DESGASTE DA CORREIA NA REGIÃO DAS GUIAS LADO DIREITO E LADO ESQUERDO
EMBARQUE,TR-314K-24,REDLEY,1,2023-07-30 00:00:00,6,---,SEM DANO,---
EMBARQUE,TR-315K-19,REDLEY,1,2023-07-30 00:00:00,3,---,SEM DANO,---
EMBARQUE,TR-315K-20,REDLEY,1,2023-07-30 00:00:00,3,---,SEM DANO,---
EMBARQUE,TR-315K-22,REDLEY,1,2023-07-30 00:00:00,3,---,SEM DANO,---
EMBARQUE,TR-315K-23,REDLEY,1,2023-07-30 00:00:00,4,---,SEM DANO,---
PÁTIO,ER-313K-06,LANÇA,1,2023-07-28 00:00:00,0,P2 - OPORTUNIDADE ATÉ 30 DIAS,AVARIA,CORREIA COM DESGASTE ACENTUADO NA REGIÃO DA GUIA.
PÁTIO,ER-313K-06,TRAYLLER,1,2023-07-28 00:00:00,17,---,SEM DANO,CORREIA INSTALADA COM DUAS EMENDAS.
PÁTIO,TR-313K-205,TRANSPORTADOR,1,2023-07-28 00:00:00,9,P5 - PREVENTIVA ATÉ 180 DIAS,BORDA,BORDA DANIFICADA POR CONTA DE DESALINHAMENTO.
PÁTIO,TR-313K-207,TRANSPORTADOR,1,2023-07-28 00:00:00,6,---,SEM DANO,---
PÁTIO,TR-313K-86,TRANSPORTADOR,1,2023-07-28 00:00:00,11,---,SEM DANO,---
PÁTIO,TR-315K-37,TRANSPORTADOR,2,2023-07-27 00:00:00,7,---,SEM DANO,---
DESCARREGAMENTO,TR-313K-10,TRANSPORTADOR,1,2023-07-26 00:00:00,2,P2 - OPORTUNIDADE ATÉ 30 DIAS,EMENDA,AS DUAS EMENDAS EXISTENTES ESTÃO COM DESGASTE NO FECHAMENTO SUPERIOR.
DESCARREGAMENTO,TR-313K-14,TRANSPORTADOR,1,2023-07-26 00:00:00,8,---,SEM DANO,SEM OBSERVAÇÕES.
PÁTIO,TR-313K-89,TRANSPORTADOR,1,2023-07-26 00:00:00,14,---,SEM DANO,---
PÁTIO,TR-315K-36,TRANSPORTADOR,1,2023-07-26 00:00:00,12,---,SEM DANO,---
PÁTIO,TR-315K-37,TRANSPORTADOR,1,2023-07-26 00:00:00,6,---,SEM DANO,---
EMBARQUE,AL-314K-06A,ALIMENTADOR,1,2023-07-25 00:00:00,4,---,SEM DANO,---
EMBARQUE,AL-314K-206,ALIMENTADOR,1,2023-07-25 00:00:00,5,---,SEM DANO,---
EMBARQUE,AL-314K-207,ALIMENTADOR,1,2023-07-25 00:00:00,5,---,SEM DANO,---
EMBARQUE,AL-314K-210,ALIMENTADOR,1,2023-07-25 00:00:00,6,---,SEM DANO,---
EMBARQUE,AM-314K-203,AMOSTRADOR,1,2023-07-25 00:00:00,4,P4 - PREVENTIVA ATÉ 90 DIAS,EMENDA,EMENDA COM AVARIA NA BORDA LADO ESQUERDO DEVIDO DESALINHAMENTO E DESGASTE NA REGIÃO DA GUIA LADO ESQUERDO
EMBARQUE,CN-326K-01,REDLEY,1,2023-07-25 00:00:00,6,---,SEM DANO,---
EMBARQUE,CN-326K-02,REDLEY,1,2023-07-25 00:00:00,3,---,SEM DANO,---
EMBARQUE,TR-314K-07,TRANSPORTADOR,1,2023-07-25 00:00:00,6,---,SEM DANO,MEDIÇÃO DA CORREIA NOVA CONFORME O DESCRITO NO PRO
EMBARQUE,TR-314K-27,REDLEY,1,2023-07-25 00:00:00,3,NORMAL,AVARIA,CORREIA COM RANHURAS NA COBERTURA SUPERIOR
EMBARQUE,TR-314K-28,REDLEY,1,2023-07-25 00:00:00,4,---,SEM DANO,---
EMBARQUE,TR-315K-02,TRANSPORTADOR,3,2023-07-25 00:00:00,6,---,SEM DANO,MEDIÇÃO REALIZADA CONFORME O DESCRITO NO PRO
